submission_year,main_categories,count,total,proportion
2023,hep-ex,12,1362,0.00881057268722467
2023,hep-lat,6,1362,0.004405286343612335
2023,hep-ph,26,1362,0.01908957415565345
2023,hep-th,23,1362,0.016886930983847283
2023,math,231,1362,0.1696035242290749
2023,math-ph,16,1362,0.011747430249632892
2023,nlin,8,1362,0.005873715124816446
2023,nucl-ex,6,1362,0.004405286343612335
2023,nucl-th,14,1362,0.010279001468428781
2023,physics,85,1362,0.06240822320117474
2023,q-bio,11,1362,0.008076358296622614
2023,q-fin,4,1362,0.002936857562408223
2023,quant-ph,48,1362,0.03524229074889868
2023,stat,50,1362,0.03671071953010279
2024,astro-ph,80,1596,0.05012531328320802
2024,cond-mat,101,1596,0.06328320802005012
2024,cs,773,1596,0.4843358395989975
2024,econ,9,1596,0.005639097744360902
2024,eess,95,1596,0.05952380952380952
2024,gr-qc,27,1596,0.016917293233082706
2024,hep-ex,11,1596,0.006892230576441102
2024,hep-lat,4,1596,0.002506265664160401
2024,hep-ph,24,1596,0.015037593984962405
2024,hep-th,26,1596,0.016290726817042606
2024,math,210,1596,0.13157894736842105
2024,math-ph,14,1596,0.008771929824561403
2024,nlin,9,1596,0.005639097744360902
2024,nucl-ex,1,1596,0.0006265664160401002
2024,nucl-th,3,1596,0.0018796992481203006
2024,physics,78,1596,0.04887218045112782
2024,q-bio,27,1596,0.016917293233082706
2024,q-fin,11,1596,0.006892230576441102
2024,quant-ph,49,1596,0.03070175438596491
2024,stat,44,1596,0.02756892230576441
2025,astro-ph,96,1545,0.062135922330097085
2025,cond-mat,114,1545,0.07378640776699029
2025,cs,715,1545,0.4627831715210356
2025,econ,6,1545,0.003883495145631068
2025,eess,59,1545,0.038187702265372166
2025,gr-qc,18,1545,0.011650485436893204
2025,hep-ex,8,1545,0.005177993527508091
2025,hep-lat,1,1545,0.0006472491909385113
2025,hep-ph,24,1545,0.015533980582524271
2025,hep-th,24,1545,0.015533980582524271
2025,math,219,1545,0.141747572815534
2025,math-ph,17,1545,0.011003236245954692
2025,nlin,8,1545,0.005177993527508091
2025,nucl-ex,4,1545,0.0025889967637540453
2025,nucl-th,10,1545,0.006472491909385114
2025,physics,98,1545,0.0634304207119741
2025,q-bio,9,1545,0.005825242718446602
2025,q-fin,3,1545,0.001941747572815534
2025,quant-ph,54,1545,0.03495145631067961
2025,stat,58,1545,0.037540453074433655
